rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
32,You Need To Calm Down,Taylor Swift,1681744,33,3,48,https://i.scdn.co/image/ab67616d0000b273896ffcd42561c44fea2bae7b,
49,The Archer,Taylor Swift,1400226,47,9,9,https://i.scdn.co/image/ab67616d0000b273137c2d3150118e7157800c5b,
70,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",1085557,67,1,97,https://i.scdn.co/image/ab67616d0000b2733b52eca47232bedfbb5e9443,
