rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
76,Only The Young - Featured in Miss Americana,Taylor Swift,1058530,78.0,61,11,https://i.scdn.co/image/ab67616d0000b273614b5974ec6e23185462700b,
139,You Need To Calm Down,Taylor Swift,784330,149.0,3,15,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,
193,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",671486,,1,1,https://i.scdn.co/image/ab67616d0000b273932b12f14fa07ba1e473c465,
