rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
14,The Fate of Ophelia,Taylor Swift,3588995,13.0,1,191,191,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
81,Opalite,Taylor Swift,1831243,72.0,2,191,191,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
