rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
115,Lover,Taylor Swift,846163,106,2,84,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,
135,You Need To Calm Down,Taylor Swift,779029,131,3,147,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,
188,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",660510,182,1,4,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,
