date,video_id,title,published_at,duration,total_views,daily_views,like_count,comment_count,category_id,live_broadcast_content,privacy_status,upload_status,tags
2026-06-23,FnEg1RgmqO4,Taylor Swift - Actually Romantic (Lyric Video),2025-10-05T23:29:06Z,PT2M49S,10753330,,64656,3210,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,WQCPl5rTMDQ,Taylor Swift - Ruin The Friendship (Lyric Video),2025-10-05T23:24:06Z,PT3M45S,11756213,,78380,2719,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,HwQnW_ZRKhc,Taylor Swift - Eldest Daughter (Lyric Video),2025-10-05T23:19:06Z,PT4M10S,10346416,,85717,2793,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,98SmlWOKuME,Taylor Swift - Father Figure (Lyric Video),2025-10-05T23:15:06Z,PT3M36S,18031014,,88511,3093,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,fxeEYfVDaJI,"The official music video for “The Fate of Ophelia” is available now, only on YouTube ❤️‍🔥",2025-10-05T23:14:46Z,PT1M7S,641130,,25477,400,10,none,public,processed,[]
2026-06-23,3PJC6uPIekc,Taylor Swift - Opalite (Lyric Video),2025-10-05T23:10:06Z,PT3M59S,51344358,,278694,6805,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,7X5iDKPrZH0,Taylor Swift - Elizabeth Taylor (Lyric Video),2025-10-05T23:06:06Z,PT3M32S,18237880,,122742,3693,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album"", ""taylor swift elizabeth taylor"", ""taylor swift elizabeth taylor lyrics"", ""elizabeth taylor taylor swift"", ""elizabeth taylor""]"
2026-06-23,ko70cExuzZM,Taylor Swift - The Fate of Ophelia (Official Music Video),2025-10-05T23:00:06Z,PT3M59S,435024797,,3522112,143174,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,b3hW8c9mmLQ,Taylor Swift - Father Figure (Visualizer),2025-10-03T04:17:26Z,PT3M38S,9026556,,104713,5576,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,svcboYY81wU,Taylor Swift - The Fate of Ophelia (Visualizer),2025-10-03T04:01:14Z,PT3M50S,16202717,,247979,11090,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
