date,song_name,rank,streams,previous_rank,peak_rank,total_days,streak,movement
2026-04-03,The Fate of Ophelia,27,670540,27,1,1,1,0
2026-04-03,Opalite,60,498395,57,2,1,1,-3
2026-04-03,Style,177,352486,192,8,1,1,+15
