date,week_start,rank,track_id,title,weekly_streams,units_am,units_spotify,units_charts,units_surplus,total_units,streams_pct,airplay_pct,sales_pct,bonus_points,points,global_best_rank,am_ts_score,am_global_score,prev_rank,prev_points,rank_change,percentage_change,weeks_on_chart,peak_position,times_at_peak
2026-04-04,2026-03-29,74,1tuNqJOtRQVHvONR8Lg3MZ,The Alchemy,1118570,88876,782999,0,1118570,871875,89.8,10.2,0,0,63.9,,88.88,0.0,68,37.87,-6,-1.5315553208344292,2,73,1
2026-04-04,2026-03-29,75,3qoftcUZaUOncvIYjFSPdE,Bejeweled,1106628,97332,774640,0,1106628,871972,88.8,11.2,0,0,63.9,,97.33,0.0,75,37.27,0,-1.0195867990340823,2,75,2
2026-04-04,2026-03-29,76,3fO566xJgwxIa3qGCGBvIC,Fresh Out The Slammer,1105233,73243,773663,0,1105233,846906,91.4,8.6,0,0,62.0,,73.24,0.0,76,36.52,0,0.876232201533407,2,76,2
2026-04-04,2026-03-29,77,3CWq0pAKKTWb0K4yiglDc4,You're Losing Me (From The Vault),1084728,17705,759310,0,1084728,777015,97.7,2.3,0,0,56.9,,17.71,0.0,69,37.86,-8,-4.490227152667731,2,77,2
2026-04-04,2026-03-29,78,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,1082435,162926,757704,0,1082435,920630,82.3,17.7,0,0,67.4,,162.93,0.0,74,37.51,-4,-3.8123167155425213,2,78,2
2026-04-04,2026-03-29,79,5l6GqSxplqnZbLg0LTPQeG,Back To December,1065347,0,745743,0,1065347,745743,100.0,0.0,0,0,54.6,,0.0,0.0,77,35.25,-2,0.7375886524822638,2,79,2
2026-04-04,2026-03-29,80,3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,1061880,116550,743316,0,1061880,859866,86.4,13.6,0,0,63.0,,116.55,0.0,78,34.99,-2,1.1717633609602647,2,80,2
2026-04-04,2026-03-29,81,12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,1055207,50488,738645,0,1055207,789133,93.6,6.4,0,0,57.8,,50.49,0.0,71,37.73,-10,-6.785051683010855,2,80,1
2026-04-04,2026-03-29,82,4svZDCRz4cJoneBpjpx8DJ,I Did Something Bad,1033777,150300,723644,0,1033777,873944,82.8,17.2,0,0,64.0,,150.3,0.0,80,34.79,-2,-0.9485484334578853,2,82,2
2026-04-04,2026-03-29,83,1SymEzIT3H8UZfibCs3TYi,Afterglow,1023594,0,716516,0,1023594,716516,100.0,0.0,0,0,52.5,,0.0,0.0,81,34.5,-2,-1.1014492753623262,2,83,2
2026-04-04,2026-03-29,84,6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),1018322,76749,712825,0,1018322,789574,90.3,9.7,0,0,57.8,,76.75,0.0,79,34.94,-5,-2.862049227246709,2,84,2
2026-04-04,2026-03-29,85,4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor's Version),1003538,99538,702477,0,1003538,802015,87.6,12.4,0,0,58.7,,99.54,0.0,82,33.84,-3,-1.1524822695035475,2,85,2
2026-04-04,2026-03-29,86,74sZKiwaGtSEEyjhDmi99y,74sZKiwaGtSEEyjhDmi99y,984356,0,689049,0,984356,689049,100.0,0.0,0,0,50.5,,0.0,0.0,73,37.68,-13,-12.924628450106152,2,75,1
2026-04-04,2026-03-29,87,1ZY1PqizIl78geGM4xWlEA,Gorgeous,967963,102835,677574,0,967963,780409,86.8,13.2,0,0,57.2,,102.84,0.0,84,32.01,-3,0.8122461730709314,2,87,2
2026-04-04,2026-03-29,88,2x0WlnmfG39ZuDmstl9xfX,End Game,962912,161348,674038,0,962912,835386,80.7,19.3,0,0,61.2,,161.35,0.0,83,32.66,-5,-1.714635639926501,2,87,1
2026-04-04,2026-03-29,89,0P9wLFurlgumLXuqFEpw52,the 1,950615,157177,665430,0,950615,822607,80.9,19.1,0,0,60.2,,157.18,0.0,,,,,1,89,1
2026-04-04,2026-03-29,90,15DeqWWQB4dcEWzJg15VrN,Our Song,947242,0,663069,0,947242,663069,100.0,0.0,0,0,48.6,,0.0,0.0,85,31.6,-5,-0.0949367088607631,2,89,1
2026-04-04,2026-03-29,91,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),897497,146816,628248,0,897497,775064,81.1,18.9,0,0,56.8,,146.82,0.0,86,30.58,-5,-2.158273381294953,2,90,1
2026-04-04,2026-03-29,92,2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,880551,87719,616386,0,880551,704105,87.5,12.5,0,0,51.6,,87.72,0.0,,,,,1,92,1
2026-04-04,2026-03-29,93,4zmKGsrXjLmljb5fTaBTot,Snow On The Beach (feat. More Lana Del Rey),848968,142259,594278,0,848968,736537,80.7,19.3,0,0,53.9,,142.26,0.0,90,28.16,-3,0.4971590909090929,2,92,1
2026-04-04,2026-03-29,94,5QUIK7ZtziW8kGWo8RqopF,Now That We Don't Talk (Taylor's Version) (From The Vault),848010,16696,593607,0,848010,610303,97.3,2.7,0,0,44.7,,16.7,0.0,87,29.15,-7,-3.018867924528299,2,93,1
2026-04-04,2026-03-29,95,7kt9e9LFSpN1zQtYEl19o1,this is me trying,843076,112428,590153,0,843076,702581,84.0,16.0,0,0,51.5,,112.43,0.0,,,,,1,95,1
2026-04-04,2026-03-29,96,3z6XUommYDWPHeFhmhhT6j,Message In A Bottle (Taylor's Version) (From The Vault),836488,0,585542,0,836488,585542,100.0,0.0,0,0,42.9,,0.0,0.0,88,29.09,-8,-4.159504984530769,2,91,1
2026-04-04,2026-03-29,97,3xYJScVfxByb61dYHTwiby,Hits Different,834011,0,583808,0,834011,583808,100.0,0.0,0,0,42.8,,0.0,0.0,91,28.05,-6,-0.8912655971479502,2,97,2
2026-04-04,2026-03-29,98,0PurA4JVJ8YQgSVopY8fn6,tolerate it,832683,15931,582878,0,832683,598809,97.3,2.7,0,0,43.9,,15.93,0.0,89,28.83,-9,-3.7114117238987054,2,94,1
2026-04-04,2026-03-29,99,62E2nR0od0M5HYxuYLaDz7,The Black Dog,831115,0,581780,0,831115,581780,100.0,0.0,0,0,42.6,,0.0,0.0,93,27.05,-6,2.4029574861367786,2,96,1
2026-04-04,2026-03-29,100,7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),827675,0,579372,0,827675,579372,100.0,0.0,0,0,42.4,,0.0,0.0,94,27.04,-6,2.034023668639056,2,95,1
