rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
15,The Fate of Ophelia,Taylor Swift,3583344,16.0,1,180,180,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
65,Opalite,Taylor Swift,1933868,74.0,2,180,180,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
115,Elizabeth Taylor,Taylor Swift,1479902,,2,63,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
177,Style,Taylor Swift,1299792,178.0,12,353,25,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
