rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
55,Anti-Hero,Taylor Swift,93215,50,23,7
143,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",55730,122,42,7
168,Lavender Haze,Taylor Swift,51562,138,40,7
192,Midnight Rain,Taylor Swift,47465,159,70,7
199,"You're On Your Own, Kid",Taylor Swift,46174,166,63,7
