rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
13,The Fate of Ophelia,Taylor Swift,3448748,12.0,1,188,188,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
71,Opalite,Taylor Swift,1800965,77.0,2,188,188,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
134,Style,Taylor Swift,1390875,156.0,12,361,33,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
