rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
9,Look What You Made Me Do,Taylor Swift,2457343,8,1,38
50,...Ready For It?,Taylor Swift,1114690,51,3,29
104,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",651807,109,2,274
