rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
44,Anti-Hero,Taylor Swift,105457,39,23,5
96,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",68595,81,42,5
111,Lavender Haze,Taylor Swift,63775,96,40,5
134,Midnight Rain,Taylor Swift,57656,112,70,5
135,"You're On Your Own, Kid",Taylor Swift,57274,113,63,5
142,Maroon,Taylor Swift,56171,120,56,5
152,Karma,Taylor Swift,53006,135,93,5
176,Vigilante Shit,Taylor Swift,49448,145,78,5
179,Bejeweled,Taylor Swift,48872,172,103,5
190,Question...?,Taylor Swift,47095,151,85,5
