rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,streak
24,The Fate of Ophelia,Taylor Swift,195719,25.0,1,184,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; synthpop; baroque pop; soty,True,The Life of a Showgirl,2025-10-03,183,184
59,Opalite,Taylor Swift,120166,59.0,2,183,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,synthpop; pop; soft rock; rnb; soty,True,The Life of a Showgirl,,,100
145,Style,Taylor Swift,88296,142.0,14,364,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,True,1989,,,32
