rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
53,Look What You Made Me Do,Taylor Swift,1260795,51,1,78
57,Call It What You Want,Taylor Swift,1161432,97,37,8
79,...Ready For It?,Taylor Swift,974787,101,3,69
81,Gorgeous,Taylor Swift,959024,113,7,22
111,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",770440,122,2,314
