rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
54,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",119588,55,11,18
131,Cruel Summer,Taylor Swift,65101,144,36,133
178,I Can Do It With a Broken Heart,Taylor Swift,57038,-1,56,1
