pop_rank,rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,pop_total_days
18,40,The Fate of Ophelia,Taylor Swift,176225,33.0,1,200,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; synthpop; baroque pop; soty,True,The Life of a Showgirl,2025-10-03,199,14.0,20
41,96,Opalite,Taylor Swift,109621,87.0,2,116,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,synthpop; pop; soft rock; rnb; soty,True,The Life of a Showgirl,,,39.0,20
76,189,Style,Taylor Swift,83845,,14,1,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,True,1989,,,,12
