rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
101,Delicate,Taylor Swift,844782,-1,101,1
197,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",556947,198,2,82
