rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
14,The Fate of Ophelia,Taylor Swift,3005260,11.0,1,193,193,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
89,Opalite,Taylor Swift,1558374,79.0,2,193,193,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
163,Style,Taylor Swift,1229606,191.0,12,365,3,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
