rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
23,The Fate of Ophelia,Taylor Swift,3591083,23,1,172,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
64,Opalite,Taylor Swift,1904002,59,2,172,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
197,Style,Taylor Swift,1196560,170,12,17,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
