rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
93,End Game,"Taylor Swift, Ed Sheeran, Future",831922,82,73,4
99,Look What You Made Me Do,Taylor Swift,809710,92,1,4
120,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",704538,116,2,4
163,...Ready For It?,Taylor Swift,569692,159,3,4
171,Delicate,Taylor Swift,530571,171,147,3
