artist_id,artist_name,gender,type
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,NF,GROUP
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,NF,GROUP
33ScadVnbm2X8kkUqOkC6Z,Don Omar,NF,solo
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,NF,GROUP
4LLpKhyESsyAXpc4laK94U,Mac Miller,NF,solo
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,NF,GROUP
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,F,solo
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,NF,GROUP
0elWFr7TW8piilVRYJUe4P,Natanael Cano,NF,solo
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,NF,solo
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,NF,GROUP
2DaxqgrOhkeH0fpeiQq2f4,Oasis,NF,GROUP
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,NF,solo
66ihevNkSYNzRAl44dx6jJ,Carín León,NF,solo
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,NF,solo
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,NF,GROUP
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,NF,solo
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,NF,GROUP
5f7VJjfbwm532GiveGC0ZK,Lil Baby,NF,solo
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,NF,solo
5WUlDfRSoLAfcVSX1WnrxN,Sia,F,solo
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",NF,solo
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,NF,solo
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,NF,solo
1URnnhqYAYcrqrcwql10ft,21 Savage,NF,solo
7a0XAaPaK2aDSqa8p3QnC7,Beéle,NF,solo
250b0Wlc5Vk0CoUsaCY84M,JENNIE,F,solo
5PlfkPxwCpRRWQJBxCa0By,HUGEL,NF,solo
0epOFNiUfyON9EYx7Tpr6V,The Strokes,NF,GROUP
0Y3agQaa6g2r0YmHPOO9rh,Davido,NF,solo
4dpARuHxo51G3z768sgnrY,Adele,F,solo
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,NF,solo
1dfeR4HaWDbWqFHLkxsg1d,Queen,NF,GROUP
3IW7ScrzXmPvZhB27hmfgy,Jul,NF,solo
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,NF,GROUP
3GdSQUH1BRtl9UrrtuwJlP,Irshad Kamil,NF,solo
6byQKddO1b34lXC2ZEjehQ,Patricio Rey y sus Redonditos de Ricota,NF,GROUP
4oLeXFyACqeem2VImYeBFe,Fred again..,NF,solo
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,NF,solo
1dKdetem2xEmjgvyymzytS,Grupo Firme,NF,GROUP
5YqI7p8zYsOpKJtjxYdOce,Victor Mendivil,NF,solo
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,NF,GROUP
6XTGKOV9jceQ6f67lnhpbF,LATIN MAFIA,NF,GROUP
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,NF,solo
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,NF,solo
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,NF,solo
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,NF,GROUP
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,NF,GROUP
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,NF,solo
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,NF,solo
1CbQrKvCpEnekM3QMGJtXK,MC Meno K,NF,solo
0oAZhL6hFrM3YRr6QzjlOf,MJ Records,NF,GROUP
3Isy6kedDrgPYoTS1dazA9,Sean Paul,NF,solo
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,NF,solo
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,NF,solo
19HM5j0ULGSmEoRcrSe5x3,Milo j,NF,solo
2ye2Wgw4gimLv2eAKyk1NB,Metallica,NF,GROUP
36cgvBn0aadzOijnjjwqMN,ILLIT,NF,GROUP
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,NF,solo
02gSuSAWEdWa5UOvqzjX6v,SIENNA SPIRO,F,solo
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,NF,solo
5LcNPa8f8bRmZqELgoRFkN,Raim Laode,NF,solo
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,NF,solo
26dSoYclwsYLMAKD3tpOr4,Britney Spears,F,solo
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,NF,GROUP
31TPClRtHm23RisEBtV3X7,Justin Timberlake,NF,solo
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,NF,solo
3q7HBObVc0L8jNeTe5Gofh,50 Cent,NF,solo
55Aa2cqylxrFIXC767Z865,Lil Wayne,NF,solo
711MCceyCBcFnzjGY4Q7Un,AC/DC,NF,GROUP
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,F,solo
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,NF,GROUP
2nszmSgqreHSdJA3zWPyrW,Luis Miguel,NF,solo
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,NF,GROUP
0LcJLqbBmaGUft1e9Mm8HV,ABBA,NF,GROUP
3MZsBdqDrRTJihTHQrO6Dq,Joji,NF,solo
465OXuCU8YZNmVG1leLwQ9,Shashwat Sachdev,NF,solo
7oPftvlwr6VrsViSDV7fJY,Green Day,NF,GROUP
2iDVt6mFbtbDEZG5ax0dTi,Tulus,NF,solo
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,NF,solo
3NlsBPwqJuDgtXZ2rv5Dmq,Ye,NF,solo
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,NF,GROUP
3PhoLpVuITZKcymswpck5b,Elton John,NF,solo
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,NF,solo
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,NF,solo
329e4yvIujISKGKz1BZZbO,Farruko,NF,solo
7gW0r5CkdEUMm42w9XpyZO,Laufey,F,solo
2wY79sveU1sp5g7SokKOiI,Sam Smith,NF,solo
6YVMFz59CuY7ngCxTxjpxE,aespa,NF,GROUP
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,NF,solo
6olE6TJLqED3rqDCT0FyPh,Nirvana,NF,GROUP
