rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
19,The Fate of Ophelia,Taylor Swift,3426755,19.0,1,198,198,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
98,Opalite,Taylor Swift,1752419,102.0,2,198,198,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
