rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,streak
27,The Fate of Ophelia,Taylor Swift,670540,27.0,1,180,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; baroque pop; synthpop; dance-pop,True,The Life of a Showgirl,2025-10-03,183,58
60,Opalite,Taylor Swift,498395,57.0,2,80,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,synthpop; pop; rnb; soft rock; christmas,True,The Life of a Showgirl,,,20
177,Style,Taylor Swift,352486,192.0,8,8,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,True,1989,,,4
