rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
12,The Fate of Ophelia,Taylor Swift,3502007,11.0,1,184,184,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
69,Opalite,Taylor Swift,1795820,74.0,2,184,184,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
158,Style,Taylor Swift,1282730,165.0,12,357,29,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
181,Cruel Summer,Taylor Swift,1219704,,2,1009,1,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
