rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
3,Look What You Made Me Do,Taylor Swift,3976966,2,1,21
17,...Ready For It?,Taylor Swift,2241189,16,3,12
87,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",823247,85,2,257
