rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
2,Love Story (Taylor’s Version),Taylor Swift,6317462,,2,1,https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3,
47,willow,Taylor Swift,1504146,53.0,1,64,https://i.scdn.co/image/ab67616d0000b273261927ea4874e8f375ad27ce,
127,Love Story,Taylor Swift,921952,189.0,127,2,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,
197,Blank Space,Taylor Swift,748091,,122,1,https://i.scdn.co/image/ab67616d0000b273815cb538fd7821595b2bc8c5,
