rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,streak
26,The Fate of Ophelia,Taylor Swift,652073,25.0,1,177,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; baroque pop; synthpop; dance-pop,True,The Life of a Showgirl,2025-10-03,180,55
52,Opalite,Taylor Swift,492812,52.0,2,77,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,synthpop; pop; rnb; soft rock; christmas,True,The Life of a Showgirl,,,17
93,Elizabeth Taylor,Taylor Swift,426179,37.0,3,16,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; who put katy perry?; baroque pop; soty; olivia rodrigo,True,The Life of a Showgirl,2025-10-03,180,2
193,Style,Taylor Swift,334273,,8,5,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,True,1989,,,1
