rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
23,Gorgeous,Taylor Swift,1971608,20,7,8
32,Look What You Made Me Do,Taylor Swift,1808578,29,1,64
102,...Ready For It?,Taylor Swift,806391,124,3,55
125,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",701578,115,2,300
