rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
17,cardigan,Taylor Swift,2123880,15,1,19,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,
31,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",1887138,26,3,19,https://i.scdn.co/image/ab67616d0000b273c88bae7846e62a8ba59ee0bd,
57,the 1,Taylor Swift,1271066,53,2,19,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,
95,august,Taylor Swift,963136,88,9,19,https://i.scdn.co/image/ab67616d0000b27308c1c9cba7dc84118976e66d,
97,the last great american dynasty,Taylor Swift,957783,91,4,19,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,
103,my tears ricochet,Taylor Swift,924740,95,5,19,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,
139,invisible string,Taylor Swift,786879,125,14,19,https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8,
143,mirrorball,Taylor Swift,773438,130,8,19,https://i.scdn.co/image/ab67616d0000b273b7b6503668aea46fbd0d203a,
149,seven,Taylor Swift,759116,135,10,19,https://i.scdn.co/image/ab67616d0000b273f528fc2d5d8b26e4e3413715,
156,this is me trying,Taylor Swift,718131,148,12,19,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,
158,betty,Taylor Swift,712252,149,17,19,https://i.scdn.co/image/ab67616d0000b273a0b8268b1387d49bf1f5842e,
160,illicit affairs,Taylor Swift,705909,151,13,19,https://i.scdn.co/image/ab67616d0000b273d459374a978da728adea3f38,
