rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release
24,The Fate of Ophelia,Taylor Swift,213752,25,1,176,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
66,Opalite,Taylor Swift,130957,61,2,92,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
166,Style,Taylor Swift,91794,145,14,24,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,True,1989,2015-01-12,4092
