rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
2,Lover,Taylor Swift,5550879,16.0,2,8,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,
4,The Man,Taylor Swift,4612079,,4,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
5,Cruel Summer,Taylor Swift,4103386,,5,1,https://i.scdn.co/image/ab67616d0000b27325a1320532b730a8d42a9915,
6,I Forgot That You Existed,Taylor Swift,4088065,,6,1,https://i.scdn.co/image/ab67616d0000b27325a1320532b730a8d42a9915,
12,You Need To Calm Down,Taylor Swift,3277250,38.0,3,71,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
13,I Think He Knows,Taylor Swift,3074896,,13,1,https://i.scdn.co/image/ab67616d0000b2735fa6dc9fc261344044c301a9,
15,Miss Americana & The Heartbreak Prince,Taylor Swift,3047195,,15,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
16,Paper Rings,Taylor Swift,3035132,,16,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
23,Cornelia Street,Taylor Swift,2751051,,23,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
24,The Archer,Taylor Swift,2709984,,9,1,https://i.scdn.co/image/ab67616d0000b27376bc1c851462191faec76bf8,
25,London Boy,Taylor Swift,2708555,,25,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
26,Death By A Thousand Cuts,Taylor Swift,2466498,,26,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
29,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",2407396,68.0,1,120,https://i.scdn.co/image/ab67616d0000b2732ca010dcf3863a07611d8b4f,
31,Soon You’ll Get Better (feat. The Chicks),"Taylor Swift, The Chicks",2307187,,31,1,https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5,
34,False God,Taylor Swift,2210386,,34,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
38,Afterglow,Taylor Swift,2110831,,38,1,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,
42,Daylight,Taylor Swift,1834253,,42,1,https://i.scdn.co/image/ab67616d0000b273614b5974ec6e23185462700b,
44,It’s Nice To Have A Friend,Taylor Swift,1801520,,44,1,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
