rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
12,The Fate of Ophelia,Taylor Swift,3683758,15.0,1,181,181,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
66,Opalite,Taylor Swift,1933637,65.0,2,181,181,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
151,Style,Taylor Swift,1341494,177.0,12,354,26,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
