rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
15,cardigan,Taylor Swift,2153740,17.0,1,18,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,
26,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",1912896,29.0,3,18,https://i.scdn.co/image/ab67616d0000b2734122095eaf28b98e4d0ad4ae,
53,the 1,Taylor Swift,1317907,54.0,2,18,https://i.scdn.co/image/ab67616d0000b273ea46ceca00d552337e5b8ac2,
88,august,Taylor Swift,1001338,98.0,9,18,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,
91,the last great american dynasty,Taylor Swift,996707,93.0,4,18,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,
95,my tears ricochet,Taylor Swift,960081,103.0,5,18,https://i.scdn.co/image/ab67616d0000b2735cdd2f9b74263b7ee73c986a,
125,invisible string,Taylor Swift,819032,138.0,14,18,https://i.scdn.co/image/ab67616d0000b273f528fc2d5d8b26e4e3413715,
130,mirrorball,Taylor Swift,809719,139.0,8,18,https://i.scdn.co/image/ab67616d0000b2739d04d25e732c593fb94e7193,
135,seven,Taylor Swift,795452,143.0,10,18,https://i.scdn.co/image/ab67616d0000b273d43c59e52d6a8032a4e27fc4,
148,this is me trying,Taylor Swift,751899,153.0,12,18,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,
149,betty,Taylor Swift,748725,151.0,17,18,https://i.scdn.co/image/ab67616d0000b273b7b6503668aea46fbd0d203a,
151,illicit affairs,Taylor Swift,742049,156.0,13,18,https://i.scdn.co/image/ab67616d0000b2738d34e1fc21441df43571faaa,
184,mad woman,Taylor Swift,637836,,16,1,https://i.scdn.co/image/ab67616d0000b27308c1c9cba7dc84118976e66d,
