rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
22,The Fate of Ophelia,Taylor Swift,3560501,22,1,174,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
68,Opalite,Taylor Swift,1869626,67,2,174,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
146,Style,Taylor Swift,1334867,185,12,19,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
