rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
17,cardigan,Taylor Swift,2008458,17,1,17,https://i.scdn.co/image/ab67616d0000b273931a1c33d7850f20ee23a5e1,
29,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",1774509,31,3,17,https://i.scdn.co/image/ab67616d0000b2738254b71110c897449937afa1,
54,the 1,Taylor Swift,1233731,55,2,17,https://i.scdn.co/image/ab67616d0000b273efaecb4b9cbae7c120d14617,
93,the last great american dynasty,Taylor Swift,919197,93,4,17,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,
98,august,Taylor Swift,908053,97,9,17,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,
103,my tears ricochet,Taylor Swift,876509,101,5,17,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,
138,invisible string,Taylor Swift,746142,143,14,17,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,
139,mirrorball,Taylor Swift,739619,141,8,17,https://i.scdn.co/image/ab67616d0000b273a36907c0781897feae72ba7f,
143,seven,Taylor Swift,724121,145,10,17,https://i.scdn.co/image/ab67616d0000b273c88bae7846e62a8ba59ee0bd,
151,betty,Taylor Swift,688913,153,17,17,https://i.scdn.co/image/ab67616d0000b273733d3ca92078e0da43d97739,
153,this is me trying,Taylor Swift,679383,156,12,17,https://i.scdn.co/image/ab67616d0000b2738d34e1fc21441df43571faaa,
156,illicit affairs,Taylor Swift,670679,164,13,17,https://i.scdn.co/image/ab67616d0000b273141785bca5f03dd8a0c01e68,
