rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
47,Look What You Made Me Do,Taylor Swift,1111403,47,1,73
50,Call It What You Want,Taylor Swift,1036524,49,37,3
105,Gorgeous,Taylor Swift,674320,109,7,17
110,...Ready For It?,Taylor Swift,666118,112,3,64
127,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",607845,134,2,309
