rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
18,The Fate of Ophelia,Taylor Swift,2900868,15.0,1,214,214,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
101,Opalite,Taylor Swift,1575157,117.0,2,214,214,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
