rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
3,Lover,Taylor Swift,3690988,3,2,10,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f,
8,The Man,Taylor Swift,2687999,8,4,3,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f,
17,You Need To Calm Down,Taylor Swift,2265883,15,3,73,https://i.scdn.co/image/ab67616d0000b273f528fc2d5d8b26e4e3413715,
18,Cruel Summer,Taylor Swift,2251415,14,5,3,https://i.scdn.co/image/ab67616d0000b27376bc1c851462191faec76bf8,
20,I Forgot That You Existed,Taylor Swift,2100882,19,6,3,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be,
26,Paper Rings,Taylor Swift,1804668,23,16,3,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
31,Miss Americana & The Heartbreak Prince,Taylor Swift,1714186,26,15,3,https://i.scdn.co/image/ab67616d0000b273614b5974ec6e23185462700b,
32,I Think He Knows,Taylor Swift,1667600,28,13,3,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,
33,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",1611907,36,1,122,https://i.scdn.co/image/ab67616d0000b2739d3bea085d49f5c2468a076f,
34,The Archer,Taylor Swift,1597937,32,9,3,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
35,Cornelia Street,Taylor Swift,1584807,34,23,3,https://i.scdn.co/image/ab67616d0000b2730bf1b932009c0bff47b8cb86,
37,London Boy,Taylor Swift,1554970,35,25,3,https://i.scdn.co/image/ab67616d0000b273fddcbb546dd3440b1897c4c7,
44,Death By A Thousand Cuts,Taylor Swift,1402120,38,26,3,https://i.scdn.co/image/ab67616d0000b273694844fd046ab81e5dc9a4cf,
50,Afterglow,Taylor Swift,1242891,47,38,3,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,
52,False God,Taylor Swift,1208983,50,34,3,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
54,Soon You’ll Get Better (feat. The Chicks),"Taylor Swift, The Chicks",1174130,49,31,3,https://i.scdn.co/image/ab67616d0000b273a5481b23c227d3e8a91ec6f5,
62,Daylight,Taylor Swift,1057618,56,42,3,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
72,It’s Nice To Have A Friend,Taylor Swift,979257,63,44,3,https://i.scdn.co/image/ab67616d0000b27354e5aec17a447066f52874fb,
