rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
13,The Fate of Ophelia,Taylor Swift,3387813,13.0,1,189,189,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
72,Opalite,Taylor Swift,1811947,71.0,2,189,189,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
195,Cruel Summer,Taylor Swift,1230481,,2,1010,1,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
196,Style,Taylor Swift,1223240,134.0,12,362,34,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
