rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
51,End Game,"Taylor Swift, Ed Sheeran, Future",1308880,48,46,25
140,Look What You Made Me Do,Taylor Swift,724629,127,1,25
148,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",694659,139,2,25
