rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
22,The Fate of Ophelia,Taylor Swift,3532966,23,1,173,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
67,Opalite,Taylor Swift,1901649,64,2,173,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
179,Cruel Summer,Taylor Swift,1271814,-1,2,1,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
185,Style,Taylor Swift,1250250,197,12,18,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
