rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
64,Look What You Made Me Do,Taylor Swift,1069768,62,1,100
96,...Ready For It?,Taylor Swift,846340,88,3,91
123,Gorgeous,Taylor Swift,727624,108,7,2
137,End Game,"Taylor Swift, Ed Sheeran, Future",682893,127,127,2
159,I Did Something Bad,Taylor Swift,619311,146,146,2
169,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",594008,161,2,336
176,Don’t Blame Me,Taylor Swift,577715,168,168,2
183,Delicate,Taylor Swift,557417,175,175,2
184,Call It What You Want,Taylor Swift,556940,159,37,2
