rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
13,The Fate of Ophelia,Taylor Swift,3684822,12.0,1,183,183,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
68,Opalite,Taylor Swift,1906715,66.0,2,183,183,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
165,Style,Taylor Swift,1327082,151.0,12,356,28,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
