rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
12,The Fate of Ophelia,Taylor Swift,3803252,16.0,1,177,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
63,Opalite,Taylor Swift,1990117,62.0,2,177,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
188,Style,Taylor Swift,1288626,186.0,12,22,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
