date,error_type,http_status,message,saved_at
2023-07-22,rate_limit,429,deferred; slept 30.0s,1775349465
2023-07-23,rate_limit,429,deferred; slept 30.0s,1775349496
2023-07-24,rate_limit,429,deferred; slept 30.0s,1775349527
2023-07-25,rate_limit,429,deferred; slept 30.0s,1775349557
2023-09-03,rate_limit,429,deferred; slept 30.0s,1775349633
2023-09-04,rate_limit,429,deferred; slept 30.0s,1775349664
2023-09-05,rate_limit,429,deferred; slept 30.0s,1775349694
2023-09-06,rate_limit,429,deferred; slept 30.0s,1775349725
2023-10-17,rate_limit,429,deferred; slept 30.0s,1775349802
2023-10-18,rate_limit,429,deferred; slept 30.0s,1775349832
2023-10-19,rate_limit,429,deferred; slept 30.0s,1775349863
2023-10-20,rate_limit,429,deferred; slept 30.0s,1775349893
2023-11-29,rate_limit,429,deferred; slept 30.0s,1775349969
2023-11-30,rate_limit,429,deferred; slept 30.0s,1775350000
2023-12-01,rate_limit,429,deferred; slept 30.0s,1775350031
2023-12-02,rate_limit,429,deferred; slept 30.0s,1775350061
2023-12-03,auth,,auth error,1775350097
2024-01-13,rate_limit,429,deferred; slept 30.0s,1775350144
2024-01-14,rate_limit,429,deferred; slept 30.0s,1775350175
2024-01-15,rate_limit,429,deferred; slept 30.0s,1775350205
2024-01-16,rate_limit,429,deferred; slept 30.0s,1775350236
2024-02-25,rate_limit,429,deferred; slept 30.0s,1775350312
2024-02-26,rate_limit,429,deferred; slept 30.0s,1775350342
2024-02-27,rate_limit,429,deferred; slept 30.0s,1775350373
2024-02-28,rate_limit,429,deferred; slept 30.0s,1775350404
2024-04-09,rate_limit,429,deferred; slept 30.0s,1775350481
2024-04-10,rate_limit,429,deferred; slept 30.0s,1775350512
2024-04-11,rate_limit,429,deferred; slept 30.0s,1775350543
2024-04-12,rate_limit,429,deferred; slept 30.0s,1775350573
2024-05-22,rate_limit,429,deferred; slept 30.0s,1775350649
2024-05-23,rate_limit,429,deferred; slept 30.0s,1775350679
2024-05-24,rate_limit,429,deferred; slept 30.0s,1775350710
2024-05-25,rate_limit,429,deferred; slept 30.0s,1775350741
2024-07-05,rate_limit,429,deferred; slept 30.0s,1775350817
2024-07-06,rate_limit,429,deferred; slept 30.0s,1775350848
2024-07-07,rate_limit,429,deferred; slept 30.0s,1775350879
2024-07-08,rate_limit,429,deferred; slept 30.0s,1775350909
2024-08-17,rate_limit,429,deferred; slept 30.0s,1775350985
2024-08-18,rate_limit,429,deferred; slept 30.0s,1775351015
2024-08-19,rate_limit,429,deferred; slept 30.0s,1775351046
2024-08-20,rate_limit,429,deferred; slept 30.0s,1775351077
2024-09-30,rate_limit,429,deferred; slept 30.0s,1775351153
2024-10-01,rate_limit,429,deferred; slept 30.0s,1775351184
2024-10-02,rate_limit,429,deferred; slept 30.0s,1775351215
2024-10-03,rate_limit,429,deferred; slept 30.0s,1775351246
2024-11-12,rate_limit,429,deferred; slept 30.0s,1775351323
2024-11-13,rate_limit,429,deferred; slept 30.0s,1775351354
2024-11-14,rate_limit,429,deferred; slept 30.0s,1775351384
2024-11-15,rate_limit,429,deferred; slept 30.0s,1775351415
2024-12-24,rate_limit,429,deferred; slept 30.0s,1775351490
2024-12-25,rate_limit,429,deferred; slept 30.0s,1775351520
2024-12-26,rate_limit,429,deferred; slept 30.0s,1775351551
2024-12-27,rate_limit,429,deferred; slept 30.0s,1775351581
2025-02-06,rate_limit,429,deferred; slept 30.0s,1775351658
2025-02-07,rate_limit,429,deferred; slept 30.0s,1775351689
2025-02-08,rate_limit,429,deferred; slept 30.0s,1775351720
2025-02-09,rate_limit,429,deferred; slept 30.0s,1775351750
2025-03-22,rate_limit,429,deferred; slept 30.0s,1775351828
2025-03-23,rate_limit,429,deferred; slept 30.0s,1775351858
2025-03-24,rate_limit,429,deferred; slept 30.0s,1775351889
2025-03-25,rate_limit,429,deferred; slept 30.0s,1775351920
2025-05-05,rate_limit,429,deferred; slept 30.0s,1775351996
2025-05-06,rate_limit,429,deferred; slept 30.0s,1775352027
2025-05-07,rate_limit,429,deferred; slept 30.0s,1775352058
2025-05-08,rate_limit,429,deferred; slept 30.0s,1775352088
2025-06-17,rate_limit,429,deferred; slept 30.0s,1775352164
2025-06-18,rate_limit,429,deferred; slept 30.0s,1775352195
2025-06-19,rate_limit,429,deferred; slept 30.0s,1775352225
2025-06-20,rate_limit,429,deferred; slept 30.0s,1775352256
2025-07-31,rate_limit,429,deferred; slept 30.0s,1775352333
2025-08-01,rate_limit,429,deferred; slept 30.0s,1775352363
2025-08-02,rate_limit,429,deferred; slept 30.0s,1775352394
2025-08-03,rate_limit,429,deferred; slept 30.0s,1775352425
2025-09-12,rate_limit,429,deferred; slept 30.0s,1775352501
2025-09-13,rate_limit,429,deferred; slept 30.0s,1775352531
2025-09-14,rate_limit,429,deferred; slept 30.0s,1775352562
2025-09-15,rate_limit,429,deferred; slept 30.0s,1775352593
2025-10-26,rate_limit,429,deferred; slept 30.0s,1775352670
2025-10-27,rate_limit,429,deferred; slept 30.0s,1775352700
2025-10-28,rate_limit,429,deferred; slept 30.0s,1775352731
2025-10-29,rate_limit,429,deferred; slept 30.0s,1775352761
2025-12-08,rate_limit,429,deferred; slept 30.0s,1775352837
2025-12-09,rate_limit,429,deferred; slept 30.0s,1775352868
2025-12-10,rate_limit,429,deferred; slept 30.0s,1775352899
2025-12-11,rate_limit,429,deferred; slept 30.0s,1775352929
2026-01-21,rate_limit,429,deferred; slept 30.0s,1775353006
2026-01-22,rate_limit,429,deferred; slept 30.0s,1775353037
2026-01-23,rate_limit,429,deferred; slept 30.0s,1775353067
2026-01-24,rate_limit,429,deferred; slept 30.0s,1775353098
2026-03-05,rate_limit,429,deferred; slept 30.0s,1775353174
2026-03-06,rate_limit,429,deferred; slept 30.0s,1775353204
2026-03-07,rate_limit,429,deferred; slept 30.0s,1775353235
2026-03-08,rate_limit,429,deferred; slept 30.0s,1775353265
