rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
15,The Fate of Ophelia,Taylor Swift,3326487,12.0,1,178,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
80,Opalite,Taylor Swift,1669607,63.0,2,178,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
148,Style,Taylor Swift,1280869,188.0,12,23,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
