rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
18,cardigan,Taylor Swift,2110346,17,1,20,https://i.scdn.co/image/ab67616d0000b273312bd86cc2db22fde885ee73,
34,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",1839953,31,3,20,https://i.scdn.co/image/ab67616d0000b2734d87da4d821ab59f9ab48919,
63,the 1,Taylor Swift,1220256,57,2,20,https://i.scdn.co/image/ab67616d0000b2738752a7355996e64709247c53,
107,august,Taylor Swift,925094,95,9,20,https://i.scdn.co/image/ab67616d0000b2731df393f4cf29c80c04456f77,
108,the last great american dynasty,Taylor Swift,917973,97,4,20,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,
114,my tears ricochet,Taylor Swift,884536,103,5,20,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,
149,invisible string,Taylor Swift,751192,139,14,20,https://i.scdn.co/image/ab67616d0000b273759e4cc8e664b1d9e5c259cb,
151,mirrorball,Taylor Swift,738793,143,8,20,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,
157,seven,Taylor Swift,723081,149,10,20,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,
165,this is me trying,Taylor Swift,681381,156,12,20,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,
168,betty,Taylor Swift,676283,158,17,20,https://i.scdn.co/image/ab67616d0000b2738e8753ff69b7efb6f8e146cd,
173,illicit affairs,Taylor Swift,671843,160,13,20,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,
