rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
33,Lover,Taylor Swift,1813889,33,2,34,https://i.scdn.co/image/ab67616d0000b2732df02f0877da45295a759f4c,
51,You Need To Calm Down,Taylor Swift,1334569,50,3,97,https://i.scdn.co/image/ab67616d0000b273e9b6f26ff354f4d70847f02d,
81,The Man,Taylor Swift,988544,76,4,27,https://i.scdn.co/image/ab67616d0000b273cad95e5a82b9df98e97cb68f,
85,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",966149,83,1,146,https://i.scdn.co/image/ab67616d0000b2738ed6845745db21e6c956ab1d,
136,Cruel Summer,Taylor Swift,785085,133,5,27,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,
172,I Forgot That You Existed,Taylor Swift,678769,165,6,27,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,
