rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
83,Only The Young - Featured in Miss Americana,Taylor Swift,1044068,76,61,12,https://i.scdn.co/image/ab67616d0000b273072a21c666bf2f7b3fababef,
137,You Need To Calm Down,Taylor Swift,812201,139,3,16,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,
194,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",689646,193,1,2,https://i.scdn.co/image/ab67616d0000b273b81ce469fb895a3dbd7f896d,
