rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
83,Look What You Made Me Do,Taylor Swift,886729,79,1,89
117,...Ready For It?,Taylor Swift,694517,119,3,80
124,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",673821,126,2,325
154,Gorgeous,Taylor Swift,574559,152,7,33
