rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
23,The Fate of Ophelia,Taylor Swift,3363782,23,1,171,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
59,Opalite,Taylor Swift,1793525,60,2,171,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
170,Style,Taylor Swift,1171024,152,12,16,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
