rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
20,The Fate of Ophelia,Taylor Swift,3569489,22,1,175,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
68,Opalite,Taylor Swift,1880816,68,2,175,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
177,Style,Taylor Swift,1298500,146,12,20,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
