title,track_id,spotify_url,status
The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W,error
Opalite,3yWuTOYDztXjZxdE2cIRUa,https://open.spotify.com/track/3yWuTOYDztXjZxdE2cIRUa,error
Style,0ug5NqcwcFR2xrfTkc7k8e,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e,error
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,error
Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,error
Shake It Off,0cqRj7pUJDkTCEsJkx8snD,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,error
cardigan,4R2kfaDFhslZEMJqAFNpdd,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,error
august,3hUxzQpSfdDqwM3ZTFQY0K,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,error
Lover,1dGr1c8CrMLDpV6mPbImSI,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,error
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,error
I Don't Wanna Live Forever (Fifty Shades Darker),2y5aJvzXhHPA94U5GFAcXe,https://open.spotify.com/track/2y5aJvzXhHPA94U5GFAcXe,error
I Don't Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,error
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,error
Elizabeth Taylor,3AKV7Mvo2Mx4tb39iPvPlT,https://open.spotify.com/track/3AKV7Mvo2Mx4tb39iPvPlT,error
I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,https://open.spotify.com/track/72jCZdH0Lhg93z6Z4hBjgj,error
Love Story (Taylor's Version),6YvqWjhGD8mB5QXcbcUKtx,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx,error
You Belong With Me (Taylor's Version),1qrpoAMXodY6895hGKoUpA,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA,error
Don't Blame Me,1R0a2iXumgCiFb7HEZ7gUE,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE,error
Wildest Dreams,4A4A6dwl5DqdqrZaEtKGPR,https://open.spotify.com/track/4A4A6dwl5DqdqrZaEtKGPR,error
You Belong With Me,7G6TDmGJXDoBaV6NGj3Yic,https://open.spotify.com/track/7G6TDmGJXDoBaV6NGj3Yic,error
Dress,6oVxXO5oQ4pTpO8RSnkzvv,https://open.spotify.com/track/6oVxXO5oQ4pTpO8RSnkzvv,error
Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,https://open.spotify.com/track/0W0iAC1VGlB82PI6elxFYf,error
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,error
Love Story,5xPsybHWRHbTYO44xnREY5,https://open.spotify.com/track/5xPsybHWRHbTYO44xnREY5,error
Delicate,6NFyWDv5CjfwuzoCkw47Xf,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf,error
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,error
Daylight,1fzAuUVbzlhZ1lJAx9PtY6,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,error
my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC,error
my tears ricochet,0Oju1YcbPCJuUQQWoZNdJK,https://open.spotify.com/track/0Oju1YcbPCJuUQQWoZNdJK,error
I Can Do It With a Broken Heart,4dgf2DYVJbtmy8zAYLs4c7,https://open.spotify.com/track/4dgf2DYVJbtmy8zAYLs4c7,error
The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,https://open.spotify.com/track/5eXgqtg3T8Av0m1FUaGHex,error
Wi$h Li$t,2TEQvxxQabwLQMqWMg1qGu,https://open.spotify.com/track/2TEQvxxQabwLQMqWMg1qGu,error
Father Figure,03bTIHJElXZ0O0jqOQvAbY,https://open.spotify.com/track/03bTIHJElXZ0O0jqOQvAbY,error
Ruin The Friendship,62V2ZHslgQV98gH4AuVXnr,https://open.spotify.com/track/62V2ZHslgQV98gH4AuVXnr,error
...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,error
Enchanted,04S1pkp1VaIqjg8zZqknR5,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5,error
loml,3YkNIrAvbKNrrwwEd7NVLl,https://open.spotify.com/track/3YkNIrAvbKNrrwwEd7NVLl,error
"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t,error
So High School,1J1ldDi3rMQlRi49gaba0a,https://open.spotify.com/track/1J1ldDi3rMQlRi49gaba0a,error
Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,https://open.spotify.com/track/0VE4kBnHJUgtMf0dy6DRmW,error
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,error
The Man,3RauEVgRgj1IuWdJ9fDs70,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70,error
Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK,error
Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h,error
the 1,0Jlcvv8IykzHaSmj49uNW8,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,error
the 1,0P9wLFurlgumLXuqFEpw52,https://open.spotify.com/track/0P9wLFurlgumLXuqFEpw52,error
Actually Romantic,2x3mwb96B6TquRqMtbxUE1,https://open.spotify.com/track/2x3mwb96B6TquRqMtbxUE1,error
Bad Blood,2NlmmAjGYrrjAp0MED5rGx,https://open.spotify.com/track/2NlmmAjGYrrjAp0MED5rGx,error
Wood,5ylJtmaWPJ33cW3En7WOu0,https://open.spotify.com/track/5ylJtmaWPJ33cW3En7WOu0,error
CANCELLED!,1appZ3c336FkPvCuywfmrs,https://open.spotify.com/track/1appZ3c336FkPvCuywfmrs,error
Honey,4qmFC3Jz5aQ0erlk2OSi2X,https://open.spotify.com/track/4qmFC3Jz5aQ0erlk2OSi2X,error
Down Bad,2F3N9tdombb64aW6VtZOdo,https://open.spotify.com/track/2F3N9tdombb64aW6VtZOdo,error
willow,0lx2cLdOt3piJbcaXIV74f,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f,error
Karma,45R112Jz5hQeKgITXgSXzs,https://open.spotify.com/track/45R112Jz5hQeKgITXgSXzs,error
