rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url
16,The Fate of Ophelia,Taylor Swift,3577326,15.0,1,179,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
74,Opalite,Taylor Swift,1851408,80.0,2,179,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
178,Style,Taylor Swift,1275257,148.0,12,24,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a
