rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,album,release_date,days_since_release
23,The Fate of Ophelia,Taylor Swift,224333,24.0,1,177,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; baroque pop; synthpop; love at first listen,The Life of a Showgirl,,
56,Opalite,Taylor Swift,139459,66.0,2,93,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; synthpop; soft rock; rnb; christmas,The Life of a Showgirl,,
170,Style,Taylor Swift,92448,166.0,14,25,https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a,pop; synthpop; taylor swift; love at first listen; 1989,1989,2015-01-12,4093
