rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
88,Look What You Made Me Do,Taylor Swift,807050,89,1,93
135,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",623473,132,2,329
148,...Ready For It?,Taylor Swift,579426,146,3,84
