rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
1,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",25204472,,1,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
2,The Tortured Poets Department,Taylor Swift,19089937,,2,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
3,Down Bad,Taylor Swift,17431926,,3,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
4,"So Long, London",Taylor Swift,17176465,,4,1,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169
5,My Boy Only Breaks His Favorite Toys,Taylor Swift,17101904,,5,1,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169
6,But Daddy I Love Him,Taylor Swift,15542560,,6,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
7,Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",14459975,,7,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
8,I Can Do It With a Broken Heart,Taylor Swift,13650325,,8,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
9,Who’s Afraid of Little Old Me?,Taylor Swift,12966995,,9,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
10,Fresh Out The Slammer,Taylor Swift,12758182,,10,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
11,Guilty as Sin?,Taylor Swift,12651611,,11,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
12,loml,Taylor Swift,12080644,,12,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
13,I Can Fix Him (No Really I Can),Taylor Swift,11127606,,13,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
14,The Smallest Man Who Ever Lived,Taylor Swift,10815874,,14,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
15,The Alchemy,Taylor Swift,10637831,,15,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
16,Clara Bow,Taylor Swift,9564186,,16,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33
20,The Black Dog,Taylor Swift,7011116,,20,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
21,imgonnagetyouback,Taylor Swift,6755030,,21,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
22,thanK you aIMee,Taylor Swift,6649752,,22,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
25,So High School,Taylor Swift,6247408,,25,1,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b
26,The Albatross,Taylor Swift,6152594,,26,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
28,Chloe or Sam or Sophia or Marcus,Taylor Swift,5856927,,28,1,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b
29,How Did It End?,Taylor Swift,5768821,,29,1,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b
31,I Hate It Here,Taylor Swift,5387443,,31,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
32,The Prophecy,Taylor Swift,5154617,,32,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
33,I Look in People's Windows,Taylor Swift,5077082,,33,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
35,Cassandra,Taylor Swift,4674074,,35,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
36,Peter,Taylor Swift,4503638,,36,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
38,Cruel Summer,Taylor Swift,4420067,13.0,2,432,399,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
39,The Bolter,Taylor Swift,4254088,,39,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
41,The Manuscript,Taylor Swift,4144642,,41,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
42,Robin,Taylor Swift,3849453,,42,1,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa
89,august,Taylor Swift,1999830,129.0,4,421,14,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc
102,Lover,Taylor Swift,1832176,95.0,2,429,116,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
105,Anti-Hero,Taylor Swift,1824792,84.0,1,545,116,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5
138,cardigan,Taylor Swift,1574433,115.0,1,487,116,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc
